Model,mean_fit_time,mean_score_time,param_SVC__C,param_SVC__gamma,param_SVC__kernel,param_k_best__k,param_k_best__score_func,param_tfidf__analyzer,param_tfidf__smooth_idf,mean_test_score,rank_test_score
2,0.07532253265380859,0.01685614585876465,0.1,1,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.08554487228393555,0.01647343635559082,0.1,1,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.09861359596252442,0.020075368881225585,0.1,1,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.13,57
2,0.09506402015686036,0.01714935302734375,0.1,1,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,48
2,0.08781218528747559,0.018107843399047852,0.1,1,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.1,85
2,0.08472666740417481,0.01800508499145508,0.1,1,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.0922886848449707,0.019151926040649414,0.1,1,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.09956603050231934,0.02392439842224121,0.1,1,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.10653305053710938,0.024682092666625976,0.1,1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.10744719505310059,0.022151994705200195,0.1,1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11064319610595703,0.023541927337646484,0.1,1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.12,66
2,0.10407285690307617,0.021911144256591797,0.1,1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,47
2,0.10540890693664551,0.02212233543395996,0.1,0.1,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.10748133659362794,0.021744775772094726,0.1,0.1,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.10947856903076172,0.021713113784790038,0.1,0.1,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.13,57
2,0.12116522789001465,0.02514204978942871,0.1,0.1,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,48
2,0.1152463436126709,0.026057624816894533,0.1,0.1,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.1,85
2,0.10815858840942383,0.023139810562133788,0.1,0.1,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11476035118103027,0.023556947708129883,0.1,0.1,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.11901979446411133,0.023748254776000975,0.1,0.1,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.09807982444763183,0.022454452514648438,0.1,0.1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.10497136116027832,0.023271894454956053,0.1,0.1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11073799133300781,0.021324014663696288,0.1,0.1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.13,57
2,0.10581717491149903,0.02387237548828125,0.1,0.1,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,48
2,0.11465663909912109,0.024419307708740234,0.1,0.001,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.10821051597595215,0.023137807846069336,0.1,0.001,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.11828908920288086,0.024158620834350587,0.1,0.001,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.13,57
2,0.1361611843109131,0.023232507705688476,0.1,0.001,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,48
2,0.12606306076049806,0.022466278076171874,0.1,0.001,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.10647320747375488,0.0208035945892334,0.1,0.001,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.1119450569152832,0.02228245735168457,0.1,0.001,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.11275753974914551,0.024760007858276367,0.1,0.001,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.10825214385986329,0.024309778213500978,0.1,0.001,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.11384673118591308,0.023260736465454103,0.1,0.001,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.12013711929321289,0.025235939025878906,0.1,0.001,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,True,0.13,57
2,0.12140913009643554,0.02402052879333496,0.1,0.001,sigmoid,500,<function chi2 at 0x7f122f876c10>,word,False,0.14,48
2,0.11867036819458007,0.02465786933898926,1,1,linear,10,<function chi2 at 0x7f122f876c10>,word,True,0.12,69
2,0.11346068382263183,0.026257038116455078,1,1,linear,10,<function chi2 at 0x7f122f876c10>,word,False,0.11,74
2,0.12123889923095703,0.02463221549987793,1,1,linear,500,<function chi2 at 0x7f122f876c10>,word,True,0.18,37
2,0.12169857025146484,0.024925613403320314,1,1,linear,500,<function chi2 at 0x7f122f876c10>,word,False,0.19,27
2,0.1342465877532959,0.026450300216674806,1,1,poly,10,<function chi2 at 0x7f122f876c10>,word,True,0.1,85
2,0.10992817878723145,0.022746706008911134,1,1,poly,10,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.10878772735595703,0.02228713035583496,1,1,poly,500,<function chi2 at 0x7f122f876c10>,word,True,0.09,94
2,0.11862654685974121,0.023998355865478514,1,1,poly,500,<function chi2 at 0x7f122f876c10>,word,False,0.09,94
2,0.10831637382507324,0.023787832260131835,1,1,sigmoid,10,<function chi2 at 0x7f122f876c10>,word,True,0.11,74
