Model,mean_fit_time,mean_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_split,param_clf__n_estimators,param_k_best__k,param_k_best__score_func,param_tfidf__analyzer,param_tfidf__smooth_idf,mean_test_score,rank_test_score
3,4.4324626445770265,1.1272465705871582,10,auto,10,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,110
3,4.6044549465179445,1.1277992248535156,10,auto,10,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,129
3,4.792913627624512,1.130669927597046,10,auto,10,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.39,67
3,4.4994782447814945,1.102874231338501,10,auto,10,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.4,65
3,4.989863681793213,1.1993550777435302,10,auto,10,100,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.18,93
3,5.304102659225464,1.3028157234191895,10,auto,10,100,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,73
3,6.361196279525757,1.2452030658721924,10,auto,10,100,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.45,41
3,6.0976691246032715,1.1964124679565429,10,auto,10,100,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.45,46
3,5.349997520446777,1.203275489807129,10,auto,10,200,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.18,78
3,5.2170738697052,1.1630695819854737,10,auto,10,200,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.18,82
3,7.746984386444092,1.2539413452148438,10,auto,10,200,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.46,36
3,7.302267789840698,1.2064194202423095,10,auto,10,200,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.46,37
3,4.559783172607422,1.11704740524292,10,auto,40,10,10,<function chi2 at 0x7f5a71e53c10>,word,True,0.17,111
3,4.755758810043335,1.1693312168121337,10,auto,40,10,10,<function chi2 at 0x7f5a71e53c10>,word,False,0.17,143
3,4.947235107421875,1.1730809688568116,10,auto,40,10,500,<function chi2 at 0x7f5a71e53c10>,word,True,0.41,61
3,4.666988325119019,1.063536024093628,10,auto,40,10,500,<function chi2 at 0x7f5a71e53c10>,word,False,0.4,63
