Model,mean_fit_time,mean_score_time,param_SVC__C,param_SVC__gamma,param_SVC__kernel,mean_test_score,rank_test_score
6,5.640607404708862,0.19838566780090333,0.1,1,linear,0.13,14
6,6.835728788375855,0.18029708862304689,0.1,1,poly,0.16,11
6,5.695790815353393,0.1984982967376709,0.1,1,sigmoid,0.07,32
6,5.526551866531372,0.1877202033996582,0.1,0.1,linear,0.13,14
6,5.724654912948608,0.2443521499633789,0.1,0.1,poly,0.12,23
6,6.23411374092102,0.21453208923339845,0.1,0.1,sigmoid,0.08,31
6,6.301911640167236,0.22857074737548827,0.1,0.001,linear,0.12,23
6,6.311965036392212,0.2155026912689209,0.1,0.001,poly,0.13,14
6,6.411230230331421,0.20595254898071289,0.1,0.001,sigmoid,0.1,28
6,6.114242458343506,0.19278812408447266,1,1,linear,0.12,20
6,7.853288698196411,0.1857776641845703,1,1,poly,0.22,1
6,6.093233108520508,0.18720560073852538,1,1,sigmoid,0.09,30
6,5.828821277618408,0.1796584129333496,1,0.1,linear,0.13,14
6,5.860798645019531,0.1908562660217285,1,0.1,poly,0.16,12
6,6.004962587356568,0.1957646369934082,1,0.1,sigmoid,0.07,32
6,5.837720441818237,0.26416382789611814,1,0.001,linear,0.13,14
6,6.041638803482056,0.18559913635253905,1,0.001,poly,0.12,23
6,5.917139625549316,0.24702739715576172,1,0.001,sigmoid,0.11,27
6,5.964563226699829,0.20817766189575196,10,1,linear,0.17,8
6,8.322734117507935,0.1952413558959961,10,1,poly,0.2,2
6,5.724578237533569,0.22948822975158692,10,1,sigmoid,0.07,32
6,5.903114461898804,0.22195982933044434,10,0.1,linear,0.16,12
6,6.7788591384887695,0.19416818618774415,10,0.1,poly,0.17,8
6,6.209699249267578,0.200492525100708,10,0.1,sigmoid,0.05,36
6,5.965434837341308,0.20683002471923828,10,0.001,linear,0.17,8
6,5.79237847328186,0.19698410034179686,10,0.001,poly,0.13,14
6,5.747991943359375,0.19319767951965333,10,0.001,sigmoid,0.11,26
6,6.2154776096344,0.2018660068511963,100,1,linear,0.18,5
6,8.109260702133179,0.1906116008758545,100,1,poly,0.18,5
6,5.377654266357422,0.1941455364227295,100,1,sigmoid,0.1,28
6,5.7505231380462645,0.18291096687316893,100,0.1,linear,0.19,3
6,6.625658845901489,0.19776268005371095,100,0.1,poly,0.19,3
6,5.569183206558227,0.1929255962371826,100,0.1,sigmoid,0.06,35
6,5.821786689758301,0.1761218547821045,100,0.001,linear,0.18,5
6,5.38161334991455,0.1977254867553711,100,0.001,poly,0.12,20
6,4.246493196487426,0.10885639190673828,100,0.001,sigmoid,0.12,20
